Date,Close,Open,High,Low,Vol.,Change %
2002-12-02,3380.2,3332.73,3476.83,3332.73,-,1.80%
2002-11-29,3320.32,3361.06,3403.4,3320.32,-,-1.20%
2002-11-28,3360.76,3342.58,3376.99,3305.44,-,0.44%
2002-11-27,3346.14,3184.47,3346.14,3148.94,-,4.84%
2002-11-26,3191.63,3299.61,3333.53,3183.3,-,-3.26%
2002-11-25,3299.24,3322.78,3365.59,3278.59,-,-0.65%
2002-11-22,3320.88,3302.68,3337.34,3278.0,-,0.49%
2002-11-21,3304.63,3216.54,3304.83,3216.54,-,2.85%
2002-11-20,3212.99,3210.22,3224.78,3117.02,-,0.19%
2002-11-19,3206.93,3205.76,3221.98,3144.78,-,-0.36%
2002-11-18,3218.36,3195.97,3262.08,3185.06,-,0.83%
2002-11-15,3191.76,3195.99,3232.07,3151.61,-,0.11%
2002-11-14,3188.39,3063.3,3191.67,3035.72,-,3.98%
2002-11-13,3066.42,3096.7,3121.32,2987.85,-,-1.59%
2002-11-12,3115.88,3040.14,3129.66,3024.97,-,2.43%
2002-11-11,3042.06,3076.25,3076.25,3005.43,-,-1.20%
2002-11-08,3079.1,3157.91,3174.39,3072.81,-,-2.43%
2002-11-07,3155.66,3298.51,3334.51,3130.44,-,-4.34%
2002-11-06,3298.84,3356.06,3443.49,3280.9,-,-1.57%
2002-11-05,3351.32,3318.17,3395.53,3268.13,-,0.70%
2002-11-04,3327.94,3167.49,3330.94,3167.49,-,5.14%
2002-11-01,3165.16,3152.19,3174.01,3056.22,-,0.39%
2002-10-31,3152.85,3115.76,3216.27,3086.62,-,1.26%
2002-10-30,3113.59,3024.9,3140.39,2999.6,-,3.03%
2002-10-29,3022.01,3188.72,3188.72,3010.74,-,-5.53%
2002-10-28,3198.96,3105.29,3235.66,3105.29,-,3.13%
2002-10-25,3102.01,3089.71,3119.71,3018.74,-,0.39%
2002-10-24,3090.01,3027.36,3129.57,3020.05,-,2.47%
2002-10-23,3015.42,3164.58,3232.98,2983.64,-,-4.45%
2002-10-22,3155.97,3269.8,3299.01,3141.6,-,-3.86%
2002-10-21,3282.67,3151.94,3282.67,3096.12,-,3.76%
2002-10-18,3163.67,3172.34,3226.25,3083.46,-,-0.28%
2002-10-17,3172.46,3021.74,3187.27,3018.09,-,5.43%
2002-10-16,3008.93,3038.18,3106.29,2966.44,-,-1.29%
2002-10-15,3048.27,2856.58,3048.27,2856.58,-,6.95%
2002-10-14,2850.11,2928.63,2928.63,2793.93,-,-2.75%
2002-10-11,2930.74,2731.84,2930.74,2714.41,-,7.23%
2002-10-10,2733.19,2593.26,2733.19,2548.4,-,5.21%
2002-10-09,2597.88,2617.54,2620.0,2519.3,-,-0.92%
2002-10-08,2622.09,2679.02,2723.37,2542.65,-,-1.70%
2002-10-07,2667.39,2710.33,2710.33,2621.86,-,-1.74%
2002-10-04,2714.62,2812.15,2847.42,2677.61,-,-3.51%
2002-10-03,2813.3,2923.55,2939.69,2809.84,-,-3.88%
2002-10-02,2926.74,2866.26,2974.34,2817.36,-,2.15%
2002-10-01,2865.23,2772.96,2894.93,2729.57,-,3.47%
2002-09-30,2769.03,2906.6,2906.6,2719.49,-,-5.13%
2002-09-27,2918.9,3020.71,3050.77,2888.45,-,-3.37%
2002-09-26,3020.6,2963.12,3058.87,2932.85,-,1.96%
2002-09-25,2962.5,2872.98,2979.6,2806.83,-,3.11%
2002-09-24,2873.21,2913.16,2959.49,2774.36,-,-1.41%
2002-09-23,2914.25,3063.44,3106.09,2890.3,-,-4.94%
2002-09-20,3065.73,3001.88,3093.22,2956.56,-,1.94%
2002-09-19,3007.47,3136.33,3162.07,3007.47,-,-3.76%
2002-09-18,3124.92,3277.41,3277.41,3111.01,-,-4.99%
2002-09-17,3289.13,3321.76,3445.59,3243.81,-,-0.90%
2002-09-16,3319.05,3359.33,3378.11,3288.22,-,-1.26%
2002-09-13,3361.28,3406.58,3406.58,3275.28,-,-1.77%
2002-09-12,3421.87,3573.22,3573.22,3421.87,-,-4.54%
2002-09-11,3584.69,3507.5,3615.59,3467.22,-,2.58%
2002-09-10,3494.69,3437.11,3515.52,3437.11,-,1.91%
2002-09-09,3429.22,3480.57,3480.57,3383.68,-,-1.62%
2002-09-06,3485.68,3361.67,3486.51,3352.1,-,3.90%
2002-09-05,3354.71,3429.48,3466.68,3301.81,-,-2.08%
2002-09-04,3425.9,3396.8,3463.05,3348.63,-,0.79%
2002-09-03,3398.99,3609.03,3609.03,3398.99,-,-5.83%
2002-09-02,3609.41,3698.69,3698.69,3602.37,-,-2.79%
2002-08-30,3712.94,3658.67,3720.5,3603.04,-,1.42%
2002-08-29,3660.95,3681.29,3697.54,3580.91,-,-0.59%
2002-08-28,3682.84,3836.08,3836.08,3682.31,-,-4.38%
2002-08-27,3851.34,3791.43,3900.11,3770.66,-,1.78%
2002-08-26,3783.84,3830.08,3899.6,3749.93,-,-1.16%
2002-08-23,3828.26,3911.22,3924.3,3815.28,-,-2.00%
2002-08-22,3906.55,3873.55,3930.96,3855.94,-,0.99%
2002-08-21,3868.17,3770.75,3903.75,3770.75,-,2.64%
2002-08-20,3768.51,3842.41,3868.86,3765.08,-,-1.80%
2002-08-19,3837.67,3681.67,3846.72,3628.46,-,4.15%
2002-08-16,3684.69,3665.67,3703.87,3576.01,-,0.52%
2002-08-15,3665.74,3591.48,3722.93,3591.48,-,2.11%
2002-08-14,3589.92,3677.54,3677.54,3542.06,-,-2.53%
2002-08-13,3683.21,3660.4,3703.55,3553.12,-,0.99%
2002-08-12,3647.13,3750.26,3750.26,3639.46,-,-3.02%
2002-08-09,3760.86,3682.74,3760.86,3607.53,-,2.22%
2002-08-08,3679.26,3473.48,3679.26,3473.48,-,6.17%
2002-08-07,3465.54,3570.11,3632.47,3440.57,-,-2.89%
2002-08-06,3568.64,3319.77,3601.57,3235.38,-,7.08%
2002-08-05,3332.65,3533.3,3536.05,3327.96,-,-5.66%
2002-08-02,3532.49,3601.71,3624.23,3496.49,-,-2.05%
2002-08-01,3606.45,3699.31,3806.97,3545.28,-,-2.53%
2002-07-31,3700.14,3876.8,3945.38,3700.14,-,-4.61%
2002-07-30,3878.94,3852.93,3878.94,3741.79,-,0.50%
2002-07-29,3859.78,3584.51,3859.78,3584.51,-,7.85%
2002-07-26,3579.0,3526.29,3581.99,3368.29,-,1.66%
2002-07-25,3520.46,3632.9,3726.58,3472.84,-,-3.09%
2002-07-24,3632.66,3515.57,3641.07,3265.96,-,3.32%
2002-07-23,3515.83,3711.3,3810.51,3512.46,-,-4.76%
2002-07-22,3691.43,3888.11,3888.11,3638.51,-,-5.15%
2002-07-19,3891.88,4092.96,4092.96,3875.84,-,-5.09%
2002-07-18,4100.75,4095.44,4152.45,4031.91,-,0.19%
2002-07-17,4092.82,3978.97,4105.69,3899.51,-,2.89%
2002-07-16,3977.75,3913.12,4052.06,3825.54,-,1.67%
2002-07-15,3912.51,4124.53,4142.65,3912.51,-,-5.28%
2002-07-12,4130.8,4121.02,4249.77,4075.25,-,0.30%
2002-07-11,4118.5,4179.79,4179.79,4039.23,-,-1.71%
2002-07-10,4190.22,4352.77,4354.23,4188.64,-,-4.11%
2002-07-09,4369.76,4445.93,4480.49,4341.85,-,-1.63%
2002-07-08,4442.33,4475.89,4476.15,4393.28,-,-0.91%
2002-07-05,4483.03,4268.23,4483.03,4268.23,-,5.27%
2002-07-04,4258.62,4140.43,4258.62,4140.43,-,2.91%
2002-07-03,4138.15,4202.29,4252.49,4101.58,-,-1.38%
2002-07-02,4195.95,4359.17,4359.17,4163.8,-,-3.91%
2002-07-01,4366.81,4377.1,4443.69,4318.23,-,-0.36%
2002-06-28,4382.56,4275.29,4388.27,4275.29,-,2.89%
2002-06-27,4259.43,4103.62,4259.43,4103.62,-,3.91%
2002-06-26,4099.05,4187.12,4187.12,3946.7,-,-2.47%
2002-06-25,4202.97,4129.46,4260.09,4129.46,-,1.84%
2002-06-24,4127.21,4233.87,4297.98,4045.52,-,-2.49%
2002-06-21,4232.4,4244.24,4312.12,4153.31,-,-0.31%
2002-06-20,4245.68,4352.31,4371.0,4199.85,-,-2.51%
2002-06-19,4354.82,4423.83,4423.83,4321.9,-,-1.78%
2002-06-18,4433.85,4481.02,4503.8,4398.73,-,-0.92%
2002-06-17,4475.1,4317.84,4483.29,4317.84,-,3.98%
2002-06-14,4303.85,4464.93,4464.93,4252.86,-,-3.72%
2002-06-13,4470.14,4517.44,4584.57,4441.65,-,-0.89%
2002-06-12,4510.19,4599.06,4599.06,4480.99,-,-2.08%
2002-06-11,4606.09,4587.1,4686.13,4555.17,-,0.37%
2002-06-10,4589.26,4617.19,4659.22,4544.77,-,-0.45%
2002-06-07,4610.18,4630.43,4630.43,4513.0,-,-1.02%
2002-06-06,4657.52,4634.22,4716.35,4617.43,-,0.72%
2002-06-05,4624.31,4632.49,4685.07,4602.15,-,-0.03%
2002-06-04,4625.79,4731.24,4731.24,4580.92,-,-2.57%
2002-06-03,4747.95,4818.07,4850.38,4725.88,-,-1.46%
2002-05-31,4818.3,4765.92,4859.01,4765.92,-,1.18%
2002-05-30,4761.96,4873.6,4873.6,4741.95,-,-2.45%
2002-05-29,4881.8,4914.54,4914.54,4855.25,-,-0.75%
2002-05-28,4918.58,4969.35,5016.11,4892.75,-,-0.87%
2002-05-27,4961.54,4896.84,4972.21,4896.84,-,1.27%
2002-05-24,4899.13,4890.46,4937.48,4880.55,-,0.40%
2002-05-23,4879.5,4925.05,4952.14,4859.54,-,-0.81%
2002-05-22,4919.5,4971.31,4996.57,4889.33,-,-1.31%
2002-05-21,4984.61,4993.43,5057.82,4948.05,-,-0.29%
2002-05-20,4998.99,5046.17,5059.42,4984.54,-,-0.74%
2002-05-17,5036.41,5057.96,5126.33,5021.91,-,-0.22%
2002-05-16,5047.45,5066.83,5101.12,5032.08,-,-0.49%
2002-05-15,5072.39,5062.1,5085.21,5001.42,-,0.46%
2002-05-14,5049.08,4981.88,5068.42,4956.01,-,1.48%
2002-05-13,4975.48,4861.15,4988.4,4832.86,-,2.13%
2002-05-10,4871.7,4961.03,4964.14,4849.09,-,-1.91%
2002-05-09,4966.48,5023.98,5026.09,4952.41,-,-1.24%
2002-05-08,5028.59,4878.74,5028.59,4878.74,-,3.21%
2002-05-07,4872.41,4875.35,4892.43,4773.49,-,-0.17%
2002-05-06,4880.67,4884.03,4926.78,4876.58,-,-0.04%
2002-05-03,4882.77,4958.78,5021.74,4872.19,-,-1.65%
2002-05-02,4964.56,5043.01,5066.97,4952.16,-,-1.52%
2002-04-30,5041.2,5007.24,5041.2,4929.35,-,0.66%
2002-04-29,5008.04,4994.2,5008.04,4945.42,-,0.15%
2002-04-26,5000.38,5064.79,5097.85,4984.62,-,-1.07%
2002-04-25,5054.41,5158.66,5166.98,5012.86,-,-2.05%
2002-04-24,5160.14,5187.13,5220.58,5144.19,-,-0.62%
2002-04-23,5192.1,5211.73,5246.18,5147.87,-,-0.26%
2002-04-22,5205.48,5285.42,5285.42,5173.68,-,-1.50%
2002-04-19,5284.55,5263.48,5288.84,5222.22,-,0.41%
2002-04-18,5262.88,5316.53,5372.46,5194.18,-,-1.05%
2002-04-17,5318.55,5357.91,5378.27,5311.23,-,-0.47%
2002-04-16,5343.88,5250.19,5343.88,5246.98,-,1.90%
2002-04-15,5244.2,5194.94,5244.2,5167.19,-,1.05%
2002-04-12,5189.65,5165.31,5211.82,5148.85,-,0.52%
2002-04-11,5162.96,5270.35,5290.87,5162.07,-,-1.94%
2002-04-10,5265.36,5169.99,5274.28,5139.01,-,1.84%
2002-04-09,5170.25,5194.09,5228.22,5166.24,-,-0.19%
2002-04-08,5180.33,5261.37,5261.37,5128.02,-,-1.52%
2002-04-05,5260.53,5250.48,5293.28,5235.1,-,0.11%
2002-04-04,5254.95,5284.2,5290.12,5211.74,-,-0.51%
2002-04-03,5281.84,5293.37,5322.55,5266.06,-,-0.55%
2002-04-02,5311.08,5379.64,5379.64,5289.8,-,-1.60%
2002-03-28,5397.29,5350.26,5424.52,5350.26,-,0.92%
2002-03-27,5348.0,5384.68,5388.68,5332.84,-,-0.79%
2002-03-26,5390.59,5314.02,5398.8,5289.93,-,1.38%
2002-03-25,5317.38,5361.2,5400.43,5306.44,-,-0.91%
2002-03-22,5366.13,5348.33,5401.82,5331.0,-,0.33%
2002-03-21,5348.68,5357.23,5387.87,5312.03,-,-0.30%
2002-03-20,5364.7,5453.95,5453.95,5355.32,-,-1.79%
2002-03-19,5462.55,5430.71,5467.31,5413.06,-,0.67%
2002-03-18,5426.04,5399.15,5465.29,5392.13,-,0.46%
2002-03-15,5401.11,5270.86,5403.28,5253.16,-,2.35%
2002-03-14,5276.87,5245.8,5293.48,5233.66,-,0.59%
2002-03-13,5245.99,5276.78,5335.27,5238.8,-,-0.57%
2002-03-12,5275.81,5338.74,5338.74,5245.18,-,-1.21%
2002-03-11,5340.67,5360.04,5401.06,5298.48,-,-0.35%
2002-03-08,5359.55,5293.18,5376.23,5288.87,-,1.33%
2002-03-07,5289.43,5293.48,5370.45,5267.79,-,0.08%
2002-03-06,5285.26,5223.85,5296.95,5197.32,-,1.08%
2002-03-05,5228.67,5245.71,5284.39,5208.86,-,-0.33%
2002-03-04,5245.84,5107.87,5265.35,5107.87,-,2.91%
