Date,Open
27.04.2018,1149
26.04.2018,1138
25.04.2018,1147
24.04.2018,1151
23.04.2018,1145
20.04.2018,1154
19.04.2018,1164
18.04.2018,1123
17.04.2018,1119
16.04.2018,1095
13.04.2018,1122
12.04.2018,1110
11.04.2018,1085
10.04.2018,1085
09.04.2018,1230
06.04.2018,1248
05.04.2018,1244
04.04.2018,1239
03.04.2018,1238
02.04.2018,1252
30.03.2018,1253
29.03.2018,1228
28.03.2018,1237
27.03.2018,1238
26.03.2018,1256
23.03.2018,1250
22.03.2018,1280
21.03.2018,1255
20.03.2018,1242
19.03.2018,1259
16.03.2018,1246
15.03.2018,1254
14.03.2018,1279
13.03.2018,1282
12.03.2018,1288
09.03.2018,1270
07.03.2018,1278
06.03.2018,1291
05.03.2018,1270
02.03.2018,1272
01.03.2018,1278
28.02.2018,1308
27.02.2018,1332
26.02.2018,1312
22.02.2018,1285
21.02.2018,1263
20.02.2018,1258
19.02.2018,1259
16.02.2018,1265
15.02.2018,1259
14.02.2018,1231
13.02.2018,1212
12.02.2018,1191
09.02.2018,1191
08.02.2018,1229
07.02.2018,1245
06.02.2018,1229
05.02.2018,1266
02.02.2018,1297
01.02.2018,1284
31.01.2018,1273
30.01.2018,1273
29.01.2018,1285
26.01.2018,1305
25.01.2018,1296
24.01.2018,1284
23.01.2018,1289
22.01.2018,1269
19.01.2018,1280
18.01.2018,1265
17.01.2018,1254
16.01.2018,1264
15.01.2018,1261
12.01.2018,1253
11.01.2018,1233
10.01.2018,1231
09.01.2018,1222
05.01.2018,1216
04.01.2018,1185
03.01.2018,1154
29.12.2017,1151
28.12.2017,1148
27.12.2017,1147
26.12.2017,1144
25.12.2017,1138
22.12.2017,1129
21.12.2017,1127
20.12.2017,1134
19.12.2017,1145
18.12.2017,1149
15.12.2017,1153
14.12.2017,1146
13.12.2017,1143
12.12.2017,1149
11.12.2017,1120
08.12.2017,1121
07.12.2017,1128
06.12.2017,1132
05.12.2017,1134
04.12.2017,1125
01.12.2017,1133
30.11.2017,1140
29.11.2017,1159
28.11.2017,1155
27.11.2017,1165
24.11.2017,1158
23.11.2017,1163
22.11.2017,1148
21.11.2017,1131
20.11.2017,1137
17.11.2017,1127
16.11.2017,1117
15.11.2017,1129
14.11.2017,1149
13.11.2017,1154
10.11.2017,1160
09.11.2017,1149
08.11.2017,1143
07.11.2017,1115
03.11.2017,1122
02.11.2017,1124
01.11.2017,1118
31.10.2017,1122
30.10.2017,1122
27.10.2017,1116
26.10.2017,1117
25.10.2017,1127
24.10.2017,1129
23.10.2017,1136
20.10.2017,1142
19.10.2017,1148
18.10.2017,1149
17.10.2017,1157
16.10.2017,1158
13.10.2017,1144
12.10.2017,1144
11.10.2017,1134
10.10.2017,1131
09.10.2017,1133
06.10.2017,1140
05.10.2017,1134
04.10.2017,1129
03.10.2017,1129
02.10.2017,1138
29.09.2017,1126
28.09.2017,1126
27.09.2017,1128
26.09.2017,1133
25.09.2017,1123
22.09.2017,1120
21.09.2017,1114
20.09.2017,1110
19.09.2017,1115
18.09.2017,1123
15.09.2017,1123
14.09.2017,1116
13.09.2017,1124
12.09.2017,1126
11.09.2017,1119
08.09.2017,1113
07.09.2017,1107
06.09.2017,1096
05.09.2017,1092
04.09.2017,1098
01.09.2017,1098
31.08.2017,1079
30.08.2017,1067
29.08.2017,1070
28.08.2017,1064
25.08.2017,1050
24.08.2017,1044
23.08.2017,1038
22.08.2017,1033
21.08.2017,1031
18.08.2017,1030
17.08.2017,1029
16.08.2017,1030
15.08.2017,1026
14.08.2017,1024
11.08.2017,1023
10.08.2017,1038
09.08.2017,1045
08.08.2017,1033
07.08.2017,1026
04.08.2017,1024
03.08.2017,1022
02.08.2017,1013
01.08.2017,1014
31.07.2017,1014
28.07.2017,1027
27.07.2017,1026
26.07.2017,1014
25.07.2017,1014
24.07.2017,1019
21.07.2017,1040
20.07.2017,1042
19.07.2017,1027
18.07.2017,1038
17.07.2017,1046
14.07.2017,1031
13.07.2017,1024
12.07.2017,1005
11.07.2017,1008
10.07.2017,998
07.07.2017,998
06.07.2017,1008
05.07.2017,1016
04.07.2017,1011
03.07.2017,1008
30.06.2017,996
29.06.2017,1008
28.06.2017,993
27.06.2017,995
26.06.2017,991
23.06.2017,977
22.06.2017,962
21.06.2017,981
20.06.2017,997
19.06.2017,992
16.06.2017,990
15.06.2017,1005
14.06.2017,1029
13.06.2017,1033
09.06.2017,1037
08.06.2017,1031
07.06.2017,1042
06.06.2017,1044
05.06.2017,1047
02.06.2017,1043
01.06.2017,1058
31.05.2017,1077
30.05.2017,1080
29.05.2017,1078
26.05.2017,1075
25.05.2017,1092
24.05.2017,1094
23.05.2017,1084
22.05.2017,1088
19.05.2017,1077
18.05.2017,1097
17.05.2017,1107
16.05.2017,1118
15.05.2017,1101
12.05.2017,1106
11.05.2017,1112
10.05.2017,1094
05.05.2017,1073
04.05.2017,1094
03.05.2017,1118
02.05.2017,1118
28.04.2017,1117
27.04.2017,1115
26.04.2017,1122
25.04.2017,1118
24.04.2017,1090
21.04.2017,1083
20.04.2017,1064
19.04.2017,1075
18.04.2017,1095
17.04.2017,1071
14.04.2017,1088
13.04.2017,1087
12.04.2017,1098
11.04.2017,1084
10.04.2017,1110
07.04.2017,1143
06.04.2017,1146
05.04.2017,1139
04.04.2017,1127
03.04.2017,1118
31.03.2017,1135
30.03.2017,1126
29.03.2017,1122
28.03.2017,1116
27.03.2017,1126
24.03.2017,1123
23.03.2017,1125
22.03.2017,1115
21.03.2017,1124
20.03.2017,1122
17.03.2017,1098
16.03.2017,1079
15.03.2017,1066
14.03.2017,1072
13.03.2017,1053
10.03.2017,1050
09.03.2017,1088
07.03.2017,1108
